" Date","Type"," Amount"
"10/3/2023","Withdrawal","4114.22"
"12/18/2023","Transfer","2416.78"
"11/25/2023","Withdrawal","4226.83"
"6/27/2023","Deposit","1959.4"
"6/8/2023","Withdrawal","2264.78"
"10/27/2023","Deposit","1667.07"
"1/31/2023","Transfer","4754.18"
"11/27/2023","Deposit","2330.1"
"2/10/2023","Withdrawal","3777.93"
"1/4/2023","Deposit","3482.58"
"9/27/2023","Transfer","1183.08"
"6/23/2023","Transfer","4570.77"
"11/6/2023","Withdrawal","2727.96"
"4/2/2023","Withdrawal","4280.47"
"3/30/2023","Deposit","4162.62"
"3/28/2023","Withdrawal","302.76"
"2/2/2023","Deposit","3102.67"
"5/17/2023","Withdrawal","3947.03"
"6/15/2023","Transfer","4533.43"
"3/30/2023","Transfer","2536.42"
"3/23/2023","Withdrawal","3756.06"
"2/12/2023","Deposit","4848.46"
"5/15/2023","Transfer","4140.93"
"12/10/2023","Deposit","4273.57"
"10/23/2023","Transfer","2042.34"
"12/7/2023","Withdrawal","467.53"
"4/29/2023","Withdrawal","4830.48"
"11/14/2023","Withdrawal","3482.13"
"7/2/2023","Transfer","864.11"
"2/4/2023","Withdrawal","4869.42"
"6/20/2023","Withdrawal","3581.77"
"1/11/2023","Withdrawal","460.94"
"12/1/2023","Deposit","862.36"
"3/20/2023","Withdrawal","4328.4"
"5/13/2023","Deposit","4769.62"
"6/17/2023","Deposit","1830.49"
"8/24/2023","Transfer","2072.18"
"10/29/2023","Withdrawal","1983.32"
"1/21/2023","Transfer","4178.43"
"5/17/2023","Withdrawal","2271.75"
"11/23/2023","Deposit","1882.53"
"6/4/2023","Transfer","3113.12"
"9/30/2023","Deposit","2457.76"
"3/7/2023","Withdrawal","2671.78"
"8/20/2023","Transfer","2041"
"1/26/2023","Withdrawal","2307.97"
"12/31/2023","Transfer","189.52"
"7/19/2023","Withdrawal","4629.65"
"6/22/2023","Deposit","162.56"
"7/2/2023","Deposit","3866.33"
"2/9/2023","Transfer","1498.36"
"9/29/2023","Withdrawal","570.15"
"7/31/2023","Withdrawal","3052.37"
"8/12/2023","Deposit","3537.69"
"6/9/2023","Transfer","3154.71"
"2/4/2023","Withdrawal","2884.66"
"11/16/2023","Withdrawal","2685.57"
"5/1/2023","Deposit","2709.88"
"10/13/2023","Withdrawal","4328.45"
"6/19/2023","Deposit","459.87"
"12/2/2023","Transfer","795.27"
"8/19/2023","Withdrawal","4065.13"
"4/10/2023","Withdrawal","1522.17"
"8/21/2023","Deposit","3860.09"
"1/2/2023","Deposit","1769.95"
"1/16/2023","Withdrawal","4627.8"
"8/9/2023","Deposit","1413.86"
"9/20/2023","Deposit","2140.21"
"7/2/2023","Transfer","802.62"
"1/23/2023","Deposit","3336.76"
"9/4/2023","Withdrawal","2020.38"
"9/14/2023","Deposit","4706.61"
"4/26/2023","Withdrawal","88.58"
"3/10/2023","Withdrawal","1944.38"
"5/21/2023","Deposit","127.91"
"2/21/2023","Withdrawal","1651.92"
"4/6/2023","Transfer","1907.42"
"2/24/2023","Transfer","1298.1"
"10/12/2023","Withdrawal","1285.1"
"5/26/2023","Transfer","1307.7"
"10/10/2023","Deposit","1338.62"
"2/19/2023","Deposit","1418.61"
"10/25/2023","Deposit","4257.98"
"7/14/2023","Withdrawal","204.88"
"8/10/2023","Deposit","4944.66"
"5/18/2023","Deposit","1414.8"
"1/9/2023","Withdrawal","149.45"
"1/3/2023","Transfer","884.04"
"12/8/2023","Deposit","4709.91"
"2/7/2023","Withdrawal","4987.64"
"3/11/2023","Transfer","1241.3"
"3/10/2023","Transfer","1134.99"
"6/7/2023","Transfer","4182.09"
"9/27/2023","Deposit","4571.92"
"1/2/2023","Transfer","3255.3"
"12/19/2023","Transfer","4679.74"
"4/11/2023","Transfer","4750.56"
"5/16/2023","Deposit","3800.84"
"11/26/2023","Withdrawal","1750.05"
"8/1/2023","Transfer","755.8"
"3/24/2023","Withdrawal","2593.19"
"12/21/2023","Transfer","1455.15"
"10/1/2023","Transfer","601.32"
"5/21/2023","Deposit","1976.04"
"10/29/2023","Transfer","2404.03"
"5/20/2023","Transfer","3313.31"
"10/23/2023","Withdrawal","1113.49"
"3/29/2023","Deposit","4343.78"
"11/19/2023","Withdrawal","935.35"
"10/8/2023","Withdrawal","4986.18"
"8/29/2023","Withdrawal","2788.83"
"4/22/2023","Withdrawal","742.74"
"10/28/2023","Deposit","4173.62"
"5/21/2023","Transfer","1276.12"
"6/1/2023","Deposit","949.68"
"7/23/2023","Transfer","682.62"
"9/15/2023","Transfer","2758.96"
"10/2/2023","Withdrawal","4397.84"
"8/2/2023","Transfer","4486.58"
"10/7/2023","Deposit","3930.24"
"7/8/2023","Transfer","2911.42"
"5/13/2023","Deposit","2654.12"
"3/21/2023","Deposit","1875.12"
"4/11/2023","Deposit","229.89"
"12/24/2023","Transfer","4184.58"
"3/5/2023","Withdrawal","4997.37"
"1/12/2023","Deposit","4605.03"
"5/3/2023","Withdrawal","4665.86"
"12/31/2023","Deposit","1672.78"
"4/19/2023","Transfer","505.54"
"7/6/2023","Deposit","4359.2"
"12/18/2023","Transfer","3821.41"
"7/25/2023","Transfer","1957.97"
"2/16/2023","Transfer","4169.55"
"11/5/2023","Transfer","702.29"
"4/9/2023","Withdrawal","3258.91"
"11/25/2023","Transfer","4767.39"
"8/22/2023","Deposit","4552.99"
"8/9/2023","Withdrawal","3806.64"
"3/19/2023","Withdrawal","1340.25"
"8/5/2023","Withdrawal","521.79"
"6/23/2023","Withdrawal","1630.43"
"4/16/2023","Deposit","3090.59"
"6/14/2023","Transfer","1589.36"
"4/23/2023","Deposit","2071.44"
"5/26/2023","Transfer","2024"
"5/12/2023","Withdrawal","1685.78"
"3/25/2023","Withdrawal","4618.02"
"1/1/2023","Withdrawal","1606.56"
"9/10/2023","Withdrawal","4967.7"
"1/24/2023","Transfer","1054.58"
"10/25/2023","Withdrawal","4364.4"
"7/7/2023","Transfer","3664.36"
"4/21/2023","Withdrawal","3347.34"
"1/24/2023","Deposit","2232.29"
"2/25/2023","Withdrawal","4084.77"
"3/10/2023","Transfer","2466.17"
"1/18/2023","Transfer","686.35"
"8/16/2023","Deposit","1409.68"
"2/27/2023","Transfer","920.32"
"6/12/2023","Deposit","2852.37"
"5/12/2023","Withdrawal","3280.47"
"8/7/2023","Withdrawal","1686.31"
"11/27/2023","Withdrawal","207.18"
"10/11/2023","Transfer","3297.1"
"5/19/2023","Withdrawal","319.18"
"1/3/2023","Withdrawal","4828.71"
"12/22/2023","Withdrawal","4437.52"
"9/16/2023","Withdrawal","4156.1"
"10/8/2023","Withdrawal","1844.04"
"11/28/2023","Transfer","3727.51"
"1/12/2023","Transfer","238.8"
"2/22/2023","Transfer","457.28"
"9/11/2023","Transfer","2477.79"
"4/6/2023","Withdrawal","2937.96"
"8/20/2023","Transfer","3837.08"
"9/23/2023","Deposit","1495.59"
"4/22/2023","Withdrawal","2717.6"
"2/16/2023","Withdrawal","322.09"
"7/1/2023","Deposit","2359.63"
"8/23/2023","Transfer","3359.59"
"9/11/2023","Deposit","4948.31"
"1/7/2023","Transfer","3842.12"
"12/10/2023","Deposit","4977.45"
"10/15/2023","Withdrawal","2494.6"
"10/6/2023","Transfer","2170.43"
"11/2/2023","Transfer","4172.69"
"7/14/2023","Transfer","2317.3"
"1/25/2023","Withdrawal","3783.13"
"1/6/2023","Transfer","4972.57"
"12/19/2023","Deposit","3625.73"
"5/23/2023","Transfer","81.37"
"7/10/2023","Transfer","909.61"
"5/28/2023","Withdrawal","1388.58"
"6/20/2023","Deposit","4112.46"
"4/6/2023","Deposit","4661.35"
"7/14/2023","Deposit","3251.99"
"9/17/2023","Transfer","449.31"
"8/24/2023","Transfer","2502.63"
"1/6/2023","Withdrawal","4296.62"
"2/28/2023","Withdrawal","1817.31"
"9/6/2023","Transfer","335.72"
"2/21/2023","Deposit","3900.11"
"10/2/2023","Deposit","3289.03"
"5/2/2023","Transfer","2340.19"
"1/26/2023","Deposit","4250.53"
"10/31/2023","Deposit","4250.06"
"8/5/2023","Transfer","3507.79"
"7/2/2023","Withdrawal","4712.17"
"3/30/2023","Transfer","2275.18"
"2/7/2023","Withdrawal","3647.36"
"3/25/2023","Deposit","4155.1"
"4/18/2023","Withdrawal","3181.62"
"6/12/2023","Withdrawal","2770.02"
"7/16/2023","Transfer","3662.67"
"9/10/2023","Deposit","1778.98"
"8/15/2023","Deposit","1838.49"
"1/3/2023","Deposit","4883.3"
"10/24/2023","Withdrawal","603"
"6/9/2023","Withdrawal","4211.57"
"10/19/2023","Transfer","3945.84"
"1/30/2023","Deposit","280.26"
"4/26/2023","Deposit","3520.48"
"6/16/2023","Withdrawal","478.48"
"4/3/2023","Withdrawal","1060.4"
"8/6/2023","Withdrawal","4791.49"
"4/19/2023","Deposit","1817.13"
"3/30/2023","Deposit","293.44"
"7/7/2023","Transfer","2610.78"
"7/3/2023","Transfer","1040"
"7/29/2023","Deposit","2137.38"
"7/5/2023","Transfer","517.27"
"10/9/2023","Withdrawal","488.88"
"7/3/2023","Transfer","2525.67"
"12/27/2023","Withdrawal","1686.03"
"5/17/2023","Transfer","784.8"
"10/15/2023","Deposit","2906.05"
"11/29/2023","Withdrawal","320.34"
"4/17/2023","Transfer","3766.17"
"3/29/2023","Deposit","266.18"
"5/5/2023","Withdrawal","4852.15"
"7/16/2023","Withdrawal","3680.77"
"4/20/2023","Deposit","4487.09"
"11/14/2023","Deposit","2205.35"
"2/17/2023","Withdrawal","299.82"
"11/18/2023","Deposit","1154.91"
"7/9/2023","Transfer","4855.76"
"4/21/2023","Transfer","3098.27"
"8/10/2023","Withdrawal","1147.08"
"3/10/2023","Withdrawal","2419.26"
"7/3/2023","Transfer","1594.03"
"11/26/2023","Deposit","2453.69"
"6/13/2023","Deposit","4184.75"
"10/19/2023","Withdrawal","1120.55"
"1/7/2023","Deposit","2001.45"
"8/9/2023","Withdrawal","2235.99"
"8/7/2023","Deposit","2939.4"
"2/27/2023","Deposit","397.87"
"10/3/2023","Deposit","1042.99"
"2/20/2023","Transfer","1995.19"
"8/3/2023","Withdrawal","4048.61"
"6/10/2023","Deposit","942.34"
"1/1/2023","Deposit","4408.8"
"3/8/2023","Transfer","1702.43"
"2/19/2023","Transfer","1276.66"
"2/4/2023","Transfer","2052.82"
"6/12/2023","Withdrawal","2773"
"11/11/2023","Transfer","3672.53"
"11/29/2023","Transfer","2389.94"
"4/7/2023","Deposit","4091.83"
"1/13/2023","Deposit","4095.53"
"10/5/2023","Transfer","18.68"
"2/25/2023","Deposit","3960"
"3/22/2023","Deposit","2219.34"
"7/21/2023","Transfer","4835.77"
"9/8/2023","Transfer","4102.93"
"8/7/2023","Transfer","1926.2"
"1/15/2023","Transfer","3176.82"
"4/19/2023","Transfer","979.28"
"10/25/2023","Deposit","1458.84"
"5/4/2023","Withdrawal","1018.51"
"3/12/2023","Deposit","3758.27"
"7/4/2023","Transfer","51"
"7/11/2023","Withdrawal","2042.29"
"11/24/2023","Withdrawal","4189.45"
"3/1/2023","Withdrawal","3548.31"
"1/31/2023","Deposit","2114.55"
"2/24/2023","Transfer","3168.89"
"6/11/2023","Deposit","2164.67"
"8/13/2023","Withdrawal","4221.6"
"5/12/2023","Deposit","2867.28"
"4/12/2023","Transfer","3166.76"
"12/12/2023","Deposit","4943.22"
"8/12/2023","Withdrawal","3852.84"
"8/19/2023","Withdrawal","1436.94"
"12/28/2023","Deposit","3867.14"
"2/28/2023","Transfer","4643.15"
"10/24/2023","Transfer","1482.43"
"8/6/2023","Transfer","4088.32"
"10/10/2023","Deposit","1196.73"
"3/20/2023","Withdrawal","2175.83"
"5/29/2023","Deposit","3453.96"
"4/1/2023","Withdrawal","1225.2"
"8/14/2023","Deposit","944.6"
"5/19/2023","Withdrawal","2318.09"
"12/9/2023","Transfer","3918.18"
"4/24/2023","Deposit","2983.36"
"1/22/2023","Transfer","3509.06"
"1/23/2023","Deposit","3449.49"
"3/6/2023","Transfer","2727.05"
"2/28/2023","Withdrawal","1584.89"
"3/30/2023","Withdrawal","2114.34"
"7/17/2023","Withdrawal","1909.3"
"4/24/2023","Withdrawal","404.56"
"1/28/2023","Deposit","4493.33"
"7/29/2023","Withdrawal","3212.86"
"8/27/2023","Transfer","4287.37"
"9/14/2023","Transfer","3882.54"
"10/12/2023","Deposit","350.79"
"2/15/2023","Deposit","1089.37"
"11/29/2023","Withdrawal","4754.17"
"7/4/2023","Deposit","2315.03"
"5/20/2023","Withdrawal","4061.58"
"6/16/2023","Deposit","2881.63"
"8/1/2023","Withdrawal","4119.57"
"6/8/2023","Transfer","3675.69"
"2/8/2023","Withdrawal","1405.86"
"4/12/2023","Transfer","4956.16"
"12/2/2023","Transfer","2457.7"
"4/20/2023","Deposit","2929.12"
"9/21/2023","Transfer","2706.77"
"10/25/2023","Withdrawal","4427.06"
"12/1/2023","Deposit","1406.65"
"11/30/2023","Deposit","317.95"
"4/6/2023","Withdrawal","2146.18"
"3/2/2023","Deposit","4592.41"
"5/19/2023","Withdrawal","2202.17"
"8/18/2023","Transfer","1395.03"
"2/1/2023","Deposit","3096.29"
"5/13/2023","Transfer","3690.36"
"8/23/2023","Deposit","2319.16"
"11/28/2023","Withdrawal","1906.34"
"8/23/2023","Withdrawal","1828.88"
"8/30/2023","Withdrawal","2112.35"
"10/22/2023","Withdrawal","4214.93"
"9/6/2023","Deposit","2417.98"
"1/23/2023","Transfer","1578.64"
"8/13/2023","Transfer","919.75"
"5/24/2023","Deposit","1420.25"
"11/2/2023","Deposit","2319.02"
"3/13/2023","Transfer","2743.59"
"8/13/2023","Transfer","3111.23"
"2/17/2023","Deposit","366.18"
"2/3/2023","Deposit","3069.72"
"9/11/2023","Deposit","1766.45"
"3/4/2023","Deposit","1292.28"
"4/12/2023","Deposit","1661.99"
"1/17/2023","Transfer","3924.48"
"8/29/2023","Transfer","4018.41"
"10/17/2023","Withdrawal","527.75"
"9/13/2023","Withdrawal","2478.42"
"12/27/2023","Transfer","2652.2"
"3/8/2023","Transfer","160.77"
"10/7/2023","Withdrawal","3588.15"
"9/23/2023","Withdrawal","1840.3"
"1/5/2023","Withdrawal","2095.81"
"1/31/2023","Deposit","3053.54"
"6/1/2023","Withdrawal","2350.01"
"9/24/2023","Deposit","3742.27"
"2/20/2023","Deposit","2983.33"
"9/4/2023","Withdrawal","1137.91"
"2/17/2023","Transfer","4353.73"
"11/30/2023","Withdrawal","1086.81"
"5/12/2023","Withdrawal","3570.53"
"5/16/2023","Withdrawal","3963.12"
"1/7/2023","Withdrawal","3444.53"
"4/29/2023","Withdrawal","2114.8"
"10/15/2023","Deposit","4390.99"
"12/8/2023","Withdrawal","1645.22"
"10/5/2023","Transfer","3438.51"
"8/6/2023","Transfer","4389.54"
"4/25/2023","Deposit","785.59"
"6/13/2023","Deposit","3266.65"
"10/12/2023","Withdrawal","4505.79"
"8/11/2023","Withdrawal","524.38"
"3/27/2023","Deposit","737.31"
"7/8/2023","Transfer","1897.5"
"2/22/2023","Withdrawal","4971.61"
"11/24/2023","Transfer","1127.44"
"12/7/2023","Deposit","1630.35"
"1/15/2023","Transfer","4177.13"
"5/7/2023","Transfer","662.41"
"6/25/2023","Transfer","4981.07"
"4/28/2023","Withdrawal","3696.92"
"7/1/2023","Deposit","4796.26"
"3/9/2023","Withdrawal","730.55"
"11/21/2023","Transfer","1169.86"
"12/22/2023","Withdrawal","1860.17"
"7/11/2023","Withdrawal","264.55"
"7/13/2023","Withdrawal","312.85"
"6/27/2023","Deposit","4520.07"
"2/16/2023","Deposit","223.31"
"5/22/2023","Transfer","3752.3"
"1/9/2023","Withdrawal","3591.04"
"1/12/2023","Transfer","373.34"
"4/2/2023","Withdrawal","946.3"
"1/13/2023","Transfer","2279.54"
"10/4/2023","Deposit","3211.87"
"2/7/2023","Transfer","4480.18"
"11/4/2023","Deposit","2638.89"
"10/9/2023","Withdrawal","4682.47"
"10/5/2023","Withdrawal","959.37"
"9/1/2023","Withdrawal","3117.67"
"9/1/2023","Transfer","4224.76"
"11/24/2023","Transfer","1174.29"
"2/6/2023","Transfer","3944.84"
"8/20/2023","Deposit","2007.44"
"6/22/2023","Withdrawal","4998.12"
"9/8/2023","Withdrawal","466.84"
"4/30/2023","Deposit","2770.83"
"12/8/2023","Deposit","3917.34"
"11/29/2023","Withdrawal","3384.22"
"1/14/2023","Withdrawal","2532.87"
"10/1/2023","Deposit","2570.41"
"12/19/2023","Deposit","2033.09"
"5/15/2023","Withdrawal","1718.08"
"7/7/2023","Withdrawal","2972.4"
"2/24/2023","Deposit","3744.35"
"10/17/2023","Withdrawal","1403.56"
"5/7/2023","Deposit","4733.63"
"10/28/2023","Withdrawal","1830.44"
"9/16/2023","Transfer","2175.53"
"11/28/2023","Transfer","2061.59"
"4/10/2023","Withdrawal","565.59"
"11/5/2023","Deposit","588.4"
"6/8/2023","Transfer","3978.4"
"1/23/2023","Deposit","1912.8"
"7/19/2023","Transfer","1087.78"
"3/6/2023","Transfer","3541.43"
"7/2/2023","Transfer","4799.11"
"8/15/2023","Withdrawal","4684.64"
"4/21/2023","Withdrawal","3619.8"
"3/20/2023","Deposit","966.2"
"9/2/2023","Withdrawal","778.92"
"4/2/2023","Deposit","4356.32"
"5/20/2023","Transfer","4814.44"
"1/1/2023","Withdrawal","3115.37"
"9/24/2023","Transfer","4507.26"
"2/20/2023","Deposit","4076.3"
"8/17/2023","Withdrawal","778.52"
"2/14/2023","Withdrawal","1122.62"
"4/9/2023","Transfer","348.12"
"3/13/2023","Withdrawal","2375.54"
"10/14/2023","Deposit","1626.5"
"3/26/2023","Withdrawal","2135.97"
"6/30/2023","Transfer","53.23"
"11/19/2023","Deposit","3609.01"
"8/5/2023","Withdrawal","1010.85"
"10/24/2023","Transfer","1847.65"
"6/5/2023","Transfer","2017.86"
"12/14/2023","Transfer","340.56"
"11/24/2023","Transfer","1833.92"
"3/6/2023","Transfer","4500.24"
"5/23/2023","Deposit","4467.09"
"12/26/2023","Transfer","132.7"
"12/8/2023","Transfer","158.65"
"8/19/2023","Withdrawal","2973.89"
"1/20/2023","Deposit","1032.07"
"11/29/2023","Transfer","4493.57"
"7/11/2023","Withdrawal","2419.44"
"12/12/2023","Deposit","1635.71"
"10/22/2023","Deposit","4766.85"
"5/15/2023","Transfer","1596.46"
"7/22/2023","Deposit","1610.93"
"6/8/2023","Withdrawal","674.15"
"6/11/2023","Deposit","1119.04"
"7/22/2023","Transfer","3804.85"
"3/29/2023","Transfer","3801.13"
"12/11/2023","Withdrawal","1939.13"
"2/20/2023","Deposit","1753.38"
"7/3/2023","Withdrawal","2097.79"
"12/19/2023","Deposit","1511.18"
"10/12/2023","Deposit","3042.89"
"9/7/2023","Deposit","4184.55"
"11/15/2023","Deposit","56.77"
"8/1/2023","Transfer","4680.68"
"10/16/2023","Transfer","598.59"
"10/28/2023","Withdrawal","4499.53"
"1/6/2023","Deposit","1175.45"
"2/6/2023","Withdrawal","4585.99"
"6/30/2023","Withdrawal","3938.78"
"9/15/2023","Transfer","1353.15"
"4/16/2023","Withdrawal","151.1"
"8/10/2023","Withdrawal","3582.06"
"11/9/2023","Withdrawal","4110.6"
"12/14/2023","Deposit","3402.02"
"12/18/2023","Deposit","1914.51"
"4/27/2023","Withdrawal","645.69"
"6/28/2023","Withdrawal","1741.77"
"4/1/2023","Deposit","1350.23"
"5/30/2023","Deposit","3618.22"
"12/1/2023","Withdrawal","805.21"
"6/20/2023","Withdrawal","4099.52"
"10/21/2023","Deposit","3063.59"
"7/11/2023","Deposit","2418.02"
"2/6/2023","Deposit","1807.56"
"4/10/2023","Deposit","2542.39"
"10/21/2023","Withdrawal","2705.34"
"11/23/2023","Deposit","1192.55"
"1/31/2023","Deposit","4943.89"
"10/27/2023","Deposit","4548.64"
"4/4/2023","Transfer","1960.08"
"9/27/2023","Transfer","1277.57"
"4/8/2023","Deposit","1542.16"
"2/21/2023","Withdrawal","4901.04"
"12/9/2023","Deposit","2041.25"
"10/25/2023","Deposit","4560.53"
"12/16/2023","Deposit","304.53"
"1/7/2023","Deposit","3886.21"
"9/3/2023","Transfer","3813.01"
"1/18/2023","Deposit","3258.42"
"7/4/2023","Deposit","614.38"
"8/18/2023","Transfer","4907.18"
"7/21/2023","Deposit","1071.77"
"2/13/2023","Withdrawal","3551.46"
"4/8/2023","Transfer","3759.87"
"3/4/2023","Deposit","3802"
"6/9/2023","Withdrawal","4131.76"
"12/17/2023","Deposit","4945.73"
"5/23/2023","Deposit","488.99"
"1/2/2023","Withdrawal","2366.22"
"5/31/2023","Withdrawal","4874.45"
"1/23/2023","Withdrawal","4411.61"
"8/15/2023","Deposit","4953.2"
"12/13/2023","Withdrawal","2916.35"
"10/9/2023","Withdrawal","3367.52"
"8/29/2023","Deposit","1326.38"
"5/21/2023","Deposit","2297.07"
"6/17/2023","Deposit","114.53"
"4/26/2023","Deposit","3601.41"
"1/10/2023","Transfer","4630.13"
"6/16/2023","Deposit","569.62"
"3/31/2023","Withdrawal","2277.35"
"12/4/2023","Withdrawal","3119.61"
"12/21/2023","Deposit","3164.57"
"4/21/2023","Withdrawal","1539.59"
"6/29/2023","Withdrawal","108.73"
"7/3/2023","Transfer","4440.2"
"9/21/2023","Transfer","467.97"
"6/30/2023","Deposit","896.62"
"1/13/2023","Transfer","4814.31"
"6/23/2023","Withdrawal","2506.86"
"3/27/2023","Deposit","4371.44"
"2/5/2023","Deposit","4485.76"
"6/20/2023","Withdrawal","4947.32"
"4/4/2023","Withdrawal","213.1"
"3/4/2023","Withdrawal","274.47"
"12/31/2023","Withdrawal","961.7"
"3/9/2023","Transfer","3285.43"
"5/21/2023","Withdrawal","1317.21"
"5/14/2023","Deposit","2483.17"
"5/26/2023","Transfer","3933.92"
"9/21/2023","Deposit","937.1"
"6/18/2023","Withdrawal","1436.56"
"11/13/2023","Withdrawal","3640.35"
"8/1/2023","Deposit","48.35"
"2/25/2023","Deposit","3789.33"
"5/2/2023","Withdrawal","3384.63"
"12/18/2023","Transfer","656.63"
"8/22/2023","Withdrawal","1226.85"
"12/27/2023","Transfer","86.87"
"6/9/2023","Withdrawal","2911.25"
"5/3/2023","Transfer","1991.5"
"1/22/2023","Withdrawal","2122.93"
"8/6/2023","Deposit","524.89"
"2/10/2023","Deposit","1768.02"
"12/31/2023","Withdrawal","4595.8"
"2/14/2023","Withdrawal","333.03"
"9/18/2023","Transfer","4875.04"
"1/12/2023","Transfer","4241.57"
"8/21/2023","Withdrawal","1022.92"
"8/21/2023","Transfer","3530.06"
"10/15/2023","Deposit","463.82"
"10/1/2023","Deposit","806.73"
"7/21/2023","Withdrawal","2444.93"
"11/16/2023","Deposit","2008.28"
"3/28/2023","Transfer","4076.99"
"6/30/2023","Withdrawal","4696.88"
"6/19/2023","Deposit","4714.65"
"8/17/2023","Withdrawal","743.54"
"3/23/2023","Deposit","3434.28"
"12/16/2023","Deposit","2858.23"
"7/30/2023","Deposit","1857.45"
"6/15/2023","Deposit","4974.19"
"1/28/2023","Withdrawal","2285.67"
"1/22/2023","Deposit","3330"
"10/29/2023","Deposit","2519.18"
"10/21/2023","Deposit","523.49"
"2/1/2023","Withdrawal","714.09"
"11/7/2023","Deposit","3753.21"
"12/11/2023","Deposit","4010.4"
"5/17/2023","Deposit","1825.45"
"10/20/2023","Withdrawal","344.13"
"3/6/2023","Deposit","4785.46"
"12/15/2023","Deposit","2490.39"
"3/20/2023","Withdrawal","679.4"
"11/12/2023","Transfer","1000.31"
"9/12/2023","Withdrawal","236.35"
"12/7/2023","Transfer","3552.18"
"3/4/2023","Transfer","3523.43"
"3/17/2023","Transfer","3016.5"
"10/9/2023","Transfer","2736.04"
"10/28/2023","Transfer","1913.64"
"12/17/2023","Withdrawal","4753.66"
"2/4/2023","Deposit","4004.6"
"3/19/2023","Withdrawal","4539.03"
"9/20/2023","Withdrawal","1565.18"
"2/22/2023","Deposit","4891.64"
"10/24/2023","Deposit","835.1"
"1/4/2023","Withdrawal","290.8"
"1/2/2023","Withdrawal","1606"
"10/18/2023","Withdrawal","1014.42"
"12/27/2023","Withdrawal","2592.44"
"5/21/2023","Deposit","1757.49"
"4/25/2023","Transfer","867.01"
"4/25/2023","Withdrawal","4222.85"
"9/20/2023","Transfer","2544.77"
"5/4/2023","Transfer","556.55"
"9/7/2023","Withdrawal","385.91"
"10/22/2023","Withdrawal","1922.07"
"4/1/2023","Deposit","4540.83"
"2/18/2023","Transfer","2544.92"
"9/30/2023","Withdrawal","704.29"
"6/2/2023","Withdrawal","1240.7"
"8/10/2023","Deposit","256.9"
"5/22/2023","Withdrawal","4160.88"
"8/9/2023","Transfer","4730.8"
"9/18/2023","Withdrawal","398.29"
"7/18/2023","Withdrawal","873.18"
"3/24/2023","Deposit","863.63"
"8/1/2023","Transfer","4020.49"
"11/3/2023","Transfer","4197.97"
"8/1/2023","Transfer","2102.18"
"9/30/2023","Withdrawal","4846.96"
"5/6/2023","Withdrawal","1304.79"
"3/2/2023","Withdrawal","2630.35"
"12/13/2023","Transfer","4981.48"
"1/31/2023","Transfer","4137.25"
"1/15/2023","Transfer","2441.05"
"12/26/2023","Transfer","551.54"
"2/9/2023","Withdrawal","4522.72"
"11/17/2023","Deposit","2715.21"
"10/3/2023","Transfer","1548.65"
"8/21/2023","Deposit","2261.58"
"11/17/2023","Transfer","1561.53"
"10/15/2023","Deposit","2759.77"
"8/28/2023","Deposit","1371.95"
"5/30/2023","Deposit","2235.46"
"3/3/2023","Withdrawal","2137.04"
"8/9/2023","Deposit","3084.19"
"9/8/2023","Withdrawal","80.69"
"1/11/2023","Deposit","2997.77"
"2/7/2023","Withdrawal","2969.64"
"3/6/2023","Transfer","1967.52"
"7/10/2023","Transfer","1242.03"
"2/7/2023","Deposit","4197.86"
"9/12/2023","Withdrawal","1730.47"
"9/26/2023","Transfer","1565.53"
"9/1/2023","Withdrawal","2321.2"
"10/7/2023","Withdrawal","1397.17"
"10/19/2023","Transfer","4155.51"
"5/28/2023","Withdrawal","2829.09"
"2/12/2023","Withdrawal","3774.35"
"4/19/2023","Withdrawal","3729.46"
"4/9/2023","Transfer","3943.15"
"2/12/2023","Withdrawal","4347.34"
"12/6/2023","Transfer","4598.13"
"4/14/2023","Withdrawal","1924.21"
"7/12/2023","Withdrawal","2224.15"
"4/25/2023","Transfer","259.79"
"2/15/2023","Transfer","4629.27"
"3/3/2023","Withdrawal","2939.85"
"4/24/2023","Withdrawal","3564.45"
"7/17/2023","Deposit","2185.67"
"9/9/2023","Withdrawal","2374.5"
"4/15/2023","Transfer","2720.45"
"1/29/2023","Withdrawal","3978.83"
"6/18/2023","Deposit","3068.71"
"1/15/2023","Withdrawal","4057.94"
"5/2/2023","Deposit","1091.26"
"12/23/2023","Transfer","1037.14"
"1/19/2023","Transfer","1042"
"12/3/2023","Withdrawal","34.17"
"4/6/2023","Deposit","903.53"
"10/11/2023","Transfer","602.55"
"7/5/2023","Withdrawal","2274.23"
"2/22/2023","Transfer","644.93"
"10/25/2023","Withdrawal","2085.1"
"11/25/2023","Deposit","4997.52"
"4/1/2023","Withdrawal","2521.8"
"1/19/2023","Transfer","4623.99"
"3/18/2023","Withdrawal","3512.52"
"5/10/2023","Transfer","4472.66"
"5/26/2023","Deposit","3131.65"
"9/2/2023","Transfer","4052.37"
"6/30/2023","Transfer","1520.97"
"5/16/2023","Deposit","1865.83"
"7/31/2023","Deposit","4801.7"
"5/17/2023","Withdrawal","1344.99"
"7/24/2023","Deposit","2112.65"
"5/29/2023","Transfer","3259.28"
"12/14/2023","Withdrawal","1968.09"
"2/13/2023","Deposit","114.52"
"3/1/2023","Transfer","3963.23"
"11/23/2023","Deposit","1684.89"
"9/6/2023","Transfer","1146.05"
